iso3,year_id,indicator_code,value,obs_status,loaded_at
AZE,2015,NY.GDP.PCAP.CD,5500.503646,,2026-04-20 18:33:21
AZE,2014,NY.GDP.PCAP.CD,7890.840281,,2026-04-20 18:33:21
BHS,2023,NY.GDP.PCAP.CD,38231.774484,,2026-04-20 18:33:21
BHS,2022,NY.GDP.PCAP.CD,34957.161328,,2026-04-20 18:33:21
BHS,2021,NY.GDP.PCAP.CD,30367.860576,,2026-04-20 18:33:21
BHS,2020,NY.GDP.PCAP.CD,26178.753761,,2026-04-20 18:33:21
BHS,2019,NY.GDP.PCAP.CD,33640.336986,,2026-04-20 18:33:21
BHS,2018,NY.GDP.PCAP.CD,32642.33532,,2026-04-20 18:33:21
BHS,2017,NY.GDP.PCAP.CD,31875.488175,,2026-04-20 18:33:21
BHS,2016,NY.GDP.PCAP.CD,30616.536316,,2026-04-20 18:33:21
BHS,2015,NY.GDP.PCAP.CD,30719.405417,,2026-04-20 18:33:21
BHS,2014,NY.GDP.PCAP.CD,29137.217563,,2026-04-20 18:33:21
BHR,2023,NY.GDP.PCAP.CD,29290.128422,,2026-04-20 18:33:21
BHR,2022,NY.GDP.PCAP.CD,30470.521928,,2026-04-20 18:33:21
BHR,2021,NY.GDP.PCAP.CD,27147.808388,,2026-04-20 18:33:21
BHR,2020,NY.GDP.PCAP.CD,24342.844455,,2026-04-20 18:33:21
BHR,2019,NY.GDP.PCAP.CD,27259.74386,,2026-04-20 18:33:21
BHR,2018,NY.GDP.PCAP.CD,26324.406655,,2026-04-20 18:33:21
BHR,2017,NY.GDP.PCAP.CD,24784.769351,,2026-04-20 18:33:21
BHR,2016,NY.GDP.PCAP.CD,23800.001441,,2026-04-20 18:33:21
BHR,2015,NY.GDP.PCAP.CD,23734.055114,,2026-04-20 18:33:21
BHR,2014,NY.GDP.PCAP.CD,26451.796565,,2026-04-20 18:33:21
BGD,2023,NY.GDP.PCAP.CD,2551.017738,,2026-04-20 18:33:21
BGD,2022,NY.GDP.PCAP.CD,2716.485928,,2026-04-20 18:33:21
BGD,2021,NY.GDP.PCAP.CD,2482.849178,,2026-04-20 18:33:21
BGD,2020,NY.GDP.PCAP.CD,2248.850788,,2026-04-20 18:33:21
BGD,2019,NY.GDP.PCAP.CD,2129.79897,,2026-04-20 18:33:21
BGD,2018,NY.GDP.PCAP.CD,1965.243727,,2026-04-20 18:33:21
BGD,2017,NY.GDP.PCAP.CD,1811.082217,,2026-04-20 18:33:21
