iso2;year_id;anchor_term;interest_raw
JM;2023;amazon;3933.0
JO;2019;amazon;3395.0
JO;2020;amazon;2969.0
JO;2021;amazon;2905.0
JO;2022;amazon;2993.0
JO;2023;amazon;2886.0
JP;2019;amazon;2481.0
JP;2020;amazon;3630.0
JP;2021;amazon;3310.0
JP;2022;amazon;3511.0
JP;2023;amazon;3429.0
KE;2019;amazon;2413.0
KE;2020;amazon;2650.0
KE;2021;amazon;2299.0
KE;2022;amazon;2520.0
KE;2023;amazon;2402.0
KG;2019;amazon;3038.0
KG;2020;amazon;2754.0
KG;2021;amazon;2690.0
KG;2022;amazon;3965.0
KG;2023;amazon;3619.0
KH;2019;amazon;3248.0
KH;2020;amazon;2696.0
KH;2021;amazon;1819.0
KH;2022;amazon;1853.0
KH;2023;amazon;1809.0
KI;2019;amazon;0.0
KI;2020;amazon;0.0
KI;2021;amazon;0.0
KI;2022;amazon;0.0
KI;2023;amazon;0.0
KM;2019;amazon;0.0
KM;2020;amazon;0.0
KM;2021;amazon;144.0
KM;2022;amazon;147.0
KM;2023;amazon;286.0
KN;2019;amazon;2870.0
KN;2020;amazon;2704.0
KN;2021;amazon;2538.0
KN;2022;amazon;2216.0
KN;2023;amazon;2529.0
KR;2019;amazon;3034.0
KR;2020;amazon;2895.0
KR;2021;amazon;2410.0
KR;2022;amazon;2227.0
KR;2023;amazon;2729.0
KW;2019;amazon;3554.0
KW;2020;amazon;3829.0
KW;2021;amazon;3213.0
KW;2022;amazon;3278.0
KW;2023;amazon;3176.0
KY;2019;amazon;3313.0
KY;2020;amazon;3359.0
KY;2021;amazon;3439.0
KY;2022;amazon;2909.0
KY;2023;amazon;3158.0
KZ;2019;amazon;1901.0
KZ;2020;amazon;1424.0
KZ;2021;amazon;1143.0
KZ;2022;amazon;1622.0
KZ;2023;amazon;1525.0
LA;2019;amazon;3514.0
LA;2020;amazon;3365.0
LA;2021;amazon;1914.0
LA;2022;amazon;1749.0
LA;2023;amazon;2091.0
LB;2019;amazon;1631.0
LB;2020;amazon;1560.0
LB;2021;amazon;1556.0
LB;2022;amazon;1589.0
LB;2023;amazon;1622.0
LC;2019;amazon;3394.0
LC;2020;amazon;3070.0
LC;2021;amazon;2742.0
LC;2022;amazon;2682.0
LC;2023;amazon;2828.0
LI;2019;amazon;2092.0
LI;2020;amazon;2302.0
LI;2021;amazon;1903.0
LI;2022;amazon;2061.0
LI;2023;amazon;2231.0
LK;2019;amazon;1307.0
LK;2020;amazon;1153.0
LK;2021;amazon;1210.0
